               "afterburner/mass" ; "afterburner/energy" ; "afterburner/heat"  ; "afterburner/fuel"
Afterburner  :  25.  /  15 = 1.67 ;                      ;  25.  / 10.  =  2.5 ;  25.  /  5.  =  5. 
Ionic        :  29.  /  24 = 1.21 ;  29.  /  5.1  =  5.7 ;  29.  / 12.  =  2.4 ;  29.  /  1.  = 29.  

               "thrust/mass"      ; "thrust/energy"      ; "thrust/heat"
Planetary    : 2070 /  52 = 39.8 ; 2070 /  4.6  = 450 ; 2070 / 14.2 = 146
Dondir       : 2050 /  60 = 34.2 ; 2050 /  4.1  = 500 ; 2050 / 10.5 = 195
Smelter      : 1980 /  55 = 36.  ; 1980 /  5.21 = 380 ; 1980 /  6.2 = 319
Orca         : 1812 /  74 = 24.5 ; 1812 /  2.9  = 625 ; 1812 /  7.7 = 235
Bondir       : 1758 /  49 = 35.9 ; 1758 /  3.2  = 549 ; 1758 /  8.2 = 214
Lohmar       : 1700 /  64 = 26.6 ; 1700 /  2.8  = 607 ; 1700 /  4.7 = 362
*Graviton*   : 1600 / 100 = 16.  ; 1600 / 10.   = 160 ; 1600 /  5.  = 320
Type 4       : 1396 /  47 = 29.7 ; 1396 /  2.   = 698 ; 1396 /  4.5 = 310
A375         : 1284 /  41 = 31.3 ; 1284 /  2.3  = 558 ; 1284 /  6.1 = 210
Diroo        : 1192 /  38 = 31.4 ; 1192 /  2.5  = 477 ; 1192 /  6.3 = 189
IS-4200      : 1132 /  59 = 19.2 ; 1132 /  1.9  = 596 ; 1132 /  3.9 = 290
Cormet       : 1130 /  46 = 24.6 ; 1130 /  1.9  = 594 ; 1130 /  3.1 = 365
Lunar        : 1056 /  30 = 35.2 ; 1056 /  2.5  = 422 ; 1056 /  7.4 = 143
Biroo        : 1054 /  32 = 32.9 ; 1054 /  2.   = 527 ; 1054 /  5.1 = 207
Forge        :  952 /  28 = 34.  ;  952 /  2.64 = 361 ;  952 /  3.  = 317
Impala       :  944 /  43 = 22.  ;  944 /  1.6  = 590 ;  944 /  4.1 = 230
Type 3       :  786 /  30 = 26.2 ;  786 /  1.2  = 655 ;  786 /  2.6 = 302
Akfar        :  750 /  33 = 22.7 ;  750 /  1.3  = 577 ;  750 /  2.1 = 357
A255         :  731 /  27 = 27.1 ;  731 /  1.4  = 522 ;  731 /  3.5 = 209
L Module     :  712 /  25 = 28.5 ;  712 /  1.   = 712 ;  712 /  8.2 =  87
Denga        :  687 /  25 = 27.5 ;  687 /  1.5  = 186 ;  687 /  3.7 = 186
IS-3200      :  590 /  34 = 17.4 ;  590 /  1.1  = 536 ;  590 /  2.  = 295
Benga        :  577 /  20 = 28.9 ;  577 /  1.1  = 525 ;  577 /  2.8 = 206
Comet        :  569 /  18 = 31.6 ;  569 /  1.4  = 406 ;  569 /  4.1 = 139
Greyhound    :  492 /  26 = 18.9 ;  492 /   .9  = 547 ;  492 /  2.1 = 234
Type 2       :  454 /  20 = 22.7 ;  454 /   .7  = 649 ;  454 /  1.5 = 303
Crucible     :  448 /  14 = 32.  ;  448 /  1.32 = 339 ;  448 /  1.4 = 320
Dasrem       :  392 /  16 = 24.5 ;  392 /   .9  = 436 ;  392 /  2.2 = 178
Basrem       :  309 /  12 = 25.8 ;  309 /   .7  = 441 ;  309 /  1.6 = 193
IS-2200      :  307 /  20 = 15.4 ;  307 /   .6  = 512 ;  307 /  1.1 = 279
Asteroid     :  280 /  10 = 28.  ;  280 /   .7  = 400 ;  280 /  2.1 = 133
Chipmunk     :  256 /  15 = 17.1 ;  256 /   .5  = 512 ;  256 /  1.1 = 233
*Baellie*    :  250 /  24 = 10.4 ;  250 /   .6  = 417 ;  250 /  1.3 = 192
A125         :  194 /   9 = 21.6 ;  194 /   .4  = 485 ;  194 /  1.  = 194
S Module     :  179 /   7 = 25.6 ;  179 /   .26 = 688 ;  179 /  2.3 =  78
Type 1       :  173 /   9 = 19.2 ;  173 /   .6  = 288 ;  173 /  1.  = 173
IS-1200      :  120 /  12 = 13.3 ;  120 /   .3  = 533 ;  120 /   .6 = 267
*IC-900*     :  110 /  20 =  5.5 ;  110 /   .25 = 440 ;  110 /   .5 = 220

* combined engines (thruster + steering)
